timestamp	generation	population_size	avg_fitness	generation_best	current_best
1740009052.76067	371	300	4268576.606341544	4207560.538716835	4207560.538716835
1740009055.200952	372	300	4258250.098442568	4204575.619172094	4204575.619172094
1740009057.669307	373	300	4272088.56649554	4205085.514163947	4204575.619172094
1740009060.1537745	374	300	4244014.804440155	4201103.771663835	4201103.771663835
1740009062.5509355	375	300	4245872.800490225	4193071.539165129	4193071.539165129
1740009064.9035668	376	300	4257615.619272295	4188272.090728889	4188272.090728889
1740009067.2374496	377	300	4235719.171178918	4184388.667830307	4184388.667830307
1740009069.596511	378	300	4234507.717902515	4182952.998848688	4182952.998848688
1740009071.930589	379	300	4222155.730086023	4175043.948524518	4175043.948524518
1740009074.1968632	380	300	4229993.915573544	4175043.948524518	4175043.948524518
1740009076.496453	381	300	4219449.059144488	4167792.508349528	4167792.508349528
1740009078.9245806	382	300	4220613.372092353	4163384.1330743465	4163384.1330743465
1740009081.3964202	383	300	4210579.322736895	4164964.8846736155	4163384.1330743465
1740009083.8948765	384	300	4221690.060217151	4155708.8325929544	4155708.8325929544
1740009086.2680387	385	300	4201811.381699965	4159694.031361081	4155708.8325929544
1740009088.6920857	386	300	4193766.227657172	4151675.3194427835	4151675.3194427835
1740009091.1113863	387	300	4221825.841893331	4151675.3194427835	4151675.3194427835
1740009093.4323356	388	300	4203634.592551205	4145007.295043061	4145007.295043061
1740009095.890832	389	300	4184282.0557224145	4147396.592869676	4145007.295043061
1740009098.2950122	390	300	4172741.4499708693	4145913.481423759	4145007.295043061
1740009100.757831	391	300	4202329.141458378	4145913.481423759	4145007.295043061
1740009103.1319048	392	300	4201456.718769509	4141072.102553976	4141072.102553976
1740009105.4808204	393	300	4179735.0795976315	4139304.7666344056	4139304.7666344056
1740009107.9451504	394	300	4185345.9501529764	4138692.897572197	4138692.897572197
1740009110.4067128	395	300	4176229.261924375	4133366.990804355	4133366.990804355
1740009112.8288887	396	300	4187309.518139475	4130129.5067422474	4130129.5067422474
1740009115.1059098	397	300	4170587.3309842134	4131435.9188789106	4130129.5067422474
1740009117.4694514	398	300	4158240.380240092	4127671.306457761	4127671.306457761
1740009119.8590546	399	300	4168272.645541318	4126390.1162020895	4126390.1162020895
1740009122.2011347	400	300	4145837.583220845	4120834.962039125	4120834.962039125
1740009124.5144603	401	300	4173641.3008026113	4119336.7925592577	4119336.7925592577
1740009126.829205	402	300	4153360.9243751294	4119157.504966764	4119157.504966764
1740009129.0982559	403	300	4151564.249420409	4116669.5754522737	4116669.5754522737
1740009131.4200594	404	300	4156459.4632572136	4112776.934687222	4112776.934687222
1740009134.3704863	405	300	4154287.370142037	4113475.2119004168	4112776.934687222
